        Corr.   Lasso   Linear_reg      MIC     RF      RFE     Ridge   Stability       Mean
Var90   0.0     0.0     1.0     0.0     0.0     0.93    0.0     0.0     0.24
Var91   0.0     0.0     0.0     0.02    0.0     0.81    0.01    0.0     0.11
Var92   0.01    0.0     0.0     0.01    0.0     0.2     0.0     0.0     0.03
Var93   0.01    0.0     0.0     0.0     0.0     0.61    0.06    0.0     0.08
Var94   0.01    0.0     0.0     0.22    0.03    0.15    0.0     0.0     0.05
Var95   0.01    0.0     0.0     0.01    0.0     0.15    0.0     0.0     0.02
Var96   0.0     0.0     0.0     0.02    0.0     0.74    0.01    0.0     0.1
Var97   0.0     0.0     0.0     0.0     0.0     0.85    0.03    0.0     0.11
Var98   0.0     0.0     0.0     0.01    0.0     0.23    0.0     0.0     0.03
Var99   0.01    0.0     0.0     0.01    0.0     0.77    0.03    0.0     0.1
Var100  0.01    0.0     0.0     0.0     0.0     0.97    0.01    0.0     0.12
Var101  0.0     0.0     0.0     0.01    0.0     0.36    0.0     0.0     0.05
Var102  0.01    0.0     0.0     0.02    0.0     0.24    0.0     0.0     0.03
Var103  0.0     0.0     0.0     0.01    0.0     0.81    0.01    0.0     0.1
Var104  0.01    0.0     0.0     0.02    0.0     0.92    0.0     0.0     0.12
Var105  0.01    0.0     0.0     0.02    0.0     0.92    0.0     0.0     0.12
Var106  0.01    0.0     0.0     0.01    0.0     0.25    0.0     0.0     0.03
Var107  0.0     0.0     0.0     0.01    0.0     0.84    0.03    0.0     0.11
Var108  0.01    0.0     0.0     0.02    0.0     0.16    0.0     0.0     0.02
Var109  0.0     0.0     0.0     0.09    0.02    0.34    0.0     0.0     0.06
Var110  0.02    0.0     0.0     0.01    0.0     0.49    0.03    0.0     0.07
Var111  0.01    0.0     0.0     0.05    0.0     0.13    0.0     0.0     0.02
Var112  0.01    0.0     0.0     0.1     0.02    0.64    0.0     0.0     0.1
Var113  0.09    0.0     0.0     0.3     0.06    0.07    0.0     0.0     0.07
Var114  0.02    0.0     0.0     0.03    0.0     0.2     0.0     0.0     0.03
Var115  0.0     0.0     0.0     0.01    0.0     0.38    0.0     0.0     0.05
Var116  0.0     0.0     0.38    0.0     0.0     0.93    0.0     0.0     0.16
Var117  0.01    0.0     0.0     0.03    0.0     0.17    0.0     0.0     0.03
Var119  0.0     0.0     0.0     0.19    0.02    0.31    0.0     0.0     0.07
Var120  0.0     0.0     0.0     0.01    0.0     0.82    0.01    0.0     0.1
Var121  0.0     0.0     0.0     0.01    0.0     0.69    0.04    0.0     0.09
Var122  0.0     0.0     0.01    0.0     0.0     1.0     0.06    0.0     0.13
Var123  0.01    0.0     0.0     0.06    0.02    0.65    0.0     0.0     0.09
Var124  0.0     0.0     0.0     0.02    0.0     0.13    0.0     0.0     0.02
Var125  0.01    0.0     0.0     0.24    0.04    0.02    0.0     0.0     0.04
Var126  0.43    0.03    0.0     1.0     1.0     0.56    0.01    0.0     0.38
Var127  0.0     0.0     0.0     0.01    0.0     0.58    0.03    0.0     0.08
Var128  0.0     0.0     0.0     0.02    0.0     0.87    0.0     0.0     0.11
Var129  0.0     0.0     0.0     0.01    0.0     0.7     0.03    0.0     0.09
Var130  0.01    0.0     0.0     0.0     0.0     0.49    0.12    0.0     0.08
Var131  0.0     0.0     0.0     0.01    0.0     0.02    0.0     0.0     0.0
Var132  0.01    0.01    0.0     0.01    0.01    0.89    0.0     0.0     0.12
