,auc,f1,accuracy,precision,recall,kappa
0,0.542061579289,0.154411764706,0.862,0.145833333333,0.1640625,0.079564081549
1,0.537500902657,0.146279949559,0.8646,0.141809290954,0.151041666667,0.0728283091675
2,0.546832123772,0.16290726817,0.8664,0.157004830918,0.169270833333,0.0904258332135
3,0.550196779318,0.168734491315,0.866,0.161137440758,0.177083333333,0.0960370263234
4,0.543034192663,0.156171284635,0.866,0.151219512195,0.161458333333,0.0834774234498
5,0.52871353264,0.130653266332,0.8616,0.126213592233,0.135416666667,0.0555696279927
6,0.555077899336,0.1775,0.8684,0.170673076923,0.184895833333,0.106102629199
7,0.538484799249,0.148325358852,0.8576,0.137168141593,0.161458333333,0.0711906292527
8,0.530672299249,0.134939759036,0.8564,0.125560538117,0.145833333333,0.0571171633042
9,0.535882889226,0.144037780401,0.855,0.131749460043,0.158854166667,0.065581004976
10,0.540542858174,0.151774785802,0.8614,0.143187066975,0.161458333333,0.076604762321
11,0.545214110341,0.159624413146,0.8568,0.145299145299,0.177083333333,0.0821868359955
12,0.544232470393,0.158150851582,0.8616,0.148401826484,0.169270833333,0.0831075551937
13,0.549984654824,0.167865707434,0.8612,0.155555555556,0.182291666667,0.0926681309486
14,0.549332484835,0.166868198307,0.8622,0.155756207675,0.1796875,0.0921730294489
15,0.557578260399,0.180940892642,0.8642,0.168539325843,0.1953125,0.107340057425
16,0.549009784806,0.166073546856,0.8594,0.152505446623,0.182291666667,0.0899648102467
17,0.542066092577,0.154394299287,0.8576,0.14192139738,0.169270833333,0.077303320464
18,0.547924339255,0.164285714286,0.8596,0.151315789474,0.1796875,0.0882624308015
19,0.555082412623,0.176755447942,0.864,0.165158371041,0.190104166667,0.103031121654
20,0.545970085933,0.161057692308,0.8604,0.149553571429,0.174479166667,0.0854144304307
21,0.550961781485,0.169451073986,0.8608,0.156387665198,0.184895833333,0.0940633031077
22,0.536641121462,0.145238095238,0.8564,0.133771929825,0.158854166667,0.0674820873439
23,0.54553681037,0.16028708134,0.8596,0.148230088496,0.174479166667,0.0842357046845
24,0.53675395364,0.145664739884,0.8522,0.130977130977,0.1640625,0.0658793930213
